"estados","cidades"
"Minas Gerais","Felício dos Santos"
"Minas Gerais","Mar de Espanha"
"Minas Gerais","Mamonas"
"Minas Gerais","Fernandes Tourinho"
"Minas Gerais","Lagoa Dourada"
"Minas Gerais","São Geraldo da Piedade"
"Minas Gerais","Manhuaçu"
"Minas Gerais","Resende Costa"
"Minas Gerais","Ladainha"
"Minas Gerais","São Francisco de Paula"
"Minas Gerais","Igaratinga"
"Minas Gerais","Catuti"
"Minas Gerais","Amparo do Serra"
"Minas Gerais","Pai Pedro"
"Minas Gerais","Paula Cândido"
"Minas Gerais","Corinto"
"Minas Gerais","Coronel Murta"
"Minas Gerais","Natalândia"
"Minas Gerais","Taparuba"
"Minas Gerais","São José da Barra"
"Minas Gerais","São Gonçalo do Pará"
"Minas Gerais","Quartel Geral"
"Minas Gerais","Campanha"
"Minas Gerais","Minduri"
"Minas Gerais","Bandeira do Sul"
"Minas Gerais","Presidente Bernardes"
"Minas Gerais","Córrego Fundo"
"Minas Gerais","Camanducaia"
"Minas Gerais","Matozinhos"
"Minas Gerais","Tiradentes"
"Minas Gerais","Senhora de Oliveira"
"Minas Gerais","Tarumirim"
"Minas Gerais","Seritinga"
"Minas Gerais","Mendes Pimentel"
"Minas Gerais","Icaraí de Minas"
"Minas Gerais","Dom Joaquim"
"Minas Gerais","Divinolândia de Minas"
"Minas Gerais","Ingaí"
"Minas Gerais","Rio Acima"
"Minas Gerais","Fama"
"Minas Gerais","Ressaquinha"
"Minas Gerais","Ijaci"
"Minas Gerais","São Geraldo do Baixio"
"Minas Gerais","Malacacheta"
"Minas Gerais","Indaiabira"
"Minas Gerais","Pedra do Indaiá"
"Minas Gerais","Ouro Preto"
"Minas Gerais","Pavão"
"Minas Gerais","Pains"
"Minas Gerais","Barão de Monte Alto"
"Minas Gerais","Barroso"
"Minas Gerais","Caldas"
"Minas Gerais","Tapiraí"
"Minas Gerais","Antônio Carlos"
"Minas Gerais","Conceição do Rio Verde"
"Minas Gerais","Coronel Xavier Chaves"
"Minas Gerais","Conceição das Alagoas"
"Minas Gerais","Piedade do Rio Grande"
"Minas Gerais","Almenara"
"Minas Gerais","Pirajuba"
"Minas Gerais","Santa Rita de Minas"
"Minas Gerais","Novo Oriente de Minas"
"Minas Gerais","Santo Antônio do Amparo"
"Minas Gerais","Itaúna"
"Minas Gerais","São João da Ponte"
"Minas Gerais","Dionísio"
"Minas Gerais","São Gonçalo do Sapucaí"
"Minas Gerais","Guarani"
"Minas Gerais","Guanhães"
"Minas Gerais","José Gonçalves de Minas"
"Minas Gerais","Aimorés"
"Minas Gerais","Betim"
"Minas Gerais","Brasilândia de Minas"
"Minas Gerais","Itueta"
"Minas Gerais","Itanhomi"
"Minas Gerais","Itapeva"
"Minas Gerais","Ubaporanga"
"Minas Gerais","Formoso"
"Minas Gerais","Josenópolis"
"Minas Gerais","Durandé"
"Minas Gerais","São João do Pacuí"
"Minas Gerais","São Tomé das Letras"
"Minas Gerais","Senador Cortes"
"Minas Gerais","Jacinto"
"Minas Gerais","Santa Efigênia de Minas"
"Minas Gerais","Salto da Divisa"
"Minas Gerais","Belmiro Braga"
"Minas Gerais","Francisco Dumont"
"Minas Gerais","Carangola"
"Minas Gerais","Carlos Chagas"
"Minas Gerais","Belo Oriente"
"Minas Gerais","Monte Azul"
"Minas Gerais","Santa Juliana"
"Minas Gerais","Novo Cruzeiro"
"Minas Gerais","Oliveira Fortes"
"Minas Gerais","Florestal"
"Minas Gerais","São João das Missões"
"Minas Gerais","Uberlândia"
"Minas Gerais","Guaraciama"
"Minas Gerais","Vargem Bonita"
"Minas Gerais","São João do Oriente"
"Minas Gerais","Carmo da Cachoeira"
"Minas Gerais","Montalvânia"
"Minas Gerais","Moeda"
"Minas Gerais","Santa Rita do Itueto"
"Minas Gerais","Botumirim"
"Minas Gerais","Bonfim"
"Minas Gerais","Carmo da Mata"
"Minas Gerais","São Sebastião da Vargem Alegre"
"Minas Gerais","Carmo do Rio Claro"
"Minas Gerais","Desterro de Entre Rios"
"Minas Gerais","Machacalis"
"Minas Gerais","Santo Antônio do Jacinto"
"Minas Gerais","Santos Dumont"
"Minas Gerais","Três Marias"
"Minas Gerais","Estrela do Sul"
"Minas Gerais","Araçuaí"
"Minas Gerais","Pequi"
"Minas Gerais","Conselheiro Pena"
"Minas Gerais","Pedra Dourada"
"Minas Gerais","Congonhas"
"Minas Gerais","Pouso Alto"
"Minas Gerais","Porteirinha"
"Minas Gerais","Arceburgo"
"Minas Gerais","Silveirânia"
"Minas Gerais","Arinos"
"Minas Gerais","Novorizonte"
"Minas Gerais","Rio Espera"
"Minas Gerais","Matias Barbosa"
"Minas Gerais","Rio Pardo de Minas"
"Minas Gerais","Chiador"
"Minas Gerais","Prata"
"Minas Gerais","Itabira"
"Minas Gerais","Jordânia"
"Minas Gerais","Ipatinga"
"Minas Gerais","Passa Quatro"
"Minas Gerais","Cônego Marinho"
"Minas Gerais","Marmelópolis"
"Minas Gerais","Cláudio"
"Minas Gerais","Paraguaçu"
"Minas Gerais","Joanésia"
"Minas Gerais","Simão Pereira"
"Minas Gerais","Dores do Turvo"
"Minas Gerais","Juruaia"
"Minas Gerais","Tabuleiro"
"Minas Gerais","Engenheiro Caldas"
"Minas Gerais","Leandro Ferreira"
"Minas Gerais","Três Corações"
"Minas Gerais","Turmalina"
"Minas Gerais","Chalé"
"Minas Gerais","Espera Feliz"
"Minas Gerais","Matias Cardoso"
"Minas Gerais","Passa Vinte"
"Minas Gerais","Campos Gerais"
